Name,Arabic
Za3tar,زعتر
Za3tar mashrouha,زعتر مشروحة
Za3tar b5dra,زعتر بخضرة
Jbneh,جبنة
Jbneh mashrouha,جبنة مشروحة
Jbneh b5dra ,جبنة بخضرة
Jbneh whabash,جبنة وحبش
Jbneh wmartadela,جبنة ومرتاديلا
Jbneh wpapironeh,جبنة وبابيرونة
Nos jbneh nos za3tar,نص جبنة نص زعتر
Nos jbneh nos arish,نص جبنة نص قريش
Nos jbneh nos har,نص جبنة نص حر 
Arish,قريش
Harhoura,حرحورة
Pizza margarita,بيتزا مازغريتا
Pizza 5dra,بيتزا خضرة
Pizza papironeh,بيتزا بابيرونة
Labneh 5drah,لبنة خضرة
Sfeyeh blahme,صفائح بلحمة
Sfeyeh b5bez,صفائح بخبز
Ka3ke bjbneh,كعكة بجبنة
Ka3ke b5drah,كعكة بخضرة
Ka3ke martadela ,كعكة مرتاديلا 
Ka3ke papironeh,كعكة بابيرونة
R2a2at bjbneh,رقاقات بجبنة
Sh3aybiyet,شعيبيات
Pizza ,بيتزا
Lahme b3ajin,لحمة بعجين
Lahme b3ajin sahb,لحمة بعجين سحب
Sandwesh lahme b3ajin,ساندويتش لحمة بعجين
B3albakiye,بعلبكية
Za3tar Asmar,زعتر اسمر
Jbneh Asmar,جبنة اسمر
Lahmeh asmar,لحمة اسمر
